Type,Item,File,Line,Details
Unused Function,cmd_fresh,processor.py,271,Class: None
Unused Function,_open_attachments_folder,emailops_gui.py,883,Class: EmailOpsApp
Unused Function,_open_conversation_folder,emailops_gui.py,910,Class: EmailOpsApp
Unused Function,_on_chat,emailops_gui.py,1578,Class: EmailOpsApp
Unused Function,_choose_root,emailops_gui.py,2609,Class: EmailOpsApp
Unused Function,runner,emailops_gui.py,289,Class: EmailOpsApp
Unused Function,_on_draft_reply,emailops_gui.py,1473,Class: EmailOpsApp
Unused Function,_view_config,emailops_gui.py,1877,Class: EmailOpsApp
Unused Function,validate_account,llm_runtime.py,331,Class: None
Unused Function,_test_embeddings,emailops_gui.py,2007,Class: EmailOpsApp
Unused Function,_show_about,emailops_gui.py,2395,Class: EmailOpsApp
Unused Function,do_update,emailops_gui.py,317,Class: EmailOpsApp
Unused Function,_clear_chunks_dir,emailops_gui.py,2263,Class: EmailOpsApp
Unused Function,busy,emailops_gui.py,123,Class: TaskController
Unused Function,_build_search_query_from_history,search_and_draft.py,2345,Class: None
Unused Function,_reset_chat_session,emailops_gui.py,1674,Class: EmailOpsApp
Unused Function,_save_logs,emailops_gui.py,2378,Class: EmailOpsApp
Unused Function,_on_list_convs,emailops_gui.py,1720,Class: EmailOpsApp
Unused Function,_on_search,emailops_gui.py,1406,Class: EmailOpsApp
Unused Function,wrapper,emailops_gui.py,143,Class: None
Unused Function,wrapper,processing_utils.py,97,Class: None
Unused Function,cmd_summarize,processor.py,398,Class: None
Unused Function,_safe_float_env,search_and_draft.py,360,Class: None
Unused Function,_add_from_convs,emailops_gui.py,1270,Class: EmailOpsApp
Unused Function,file_lock,file_utils.py,112,Class: None
Unused Function,json_complete,llm_client.py,85,Class: None
Unused Function,_clean_index_text,email_indexer.py,264,Class: None
Unused Function,getAge,processing_utils.py,88,Class: Person
Unused Function,decorator,emailops_gui.py,142,Class: None
Unused Function,_cache_query_embedding,search_and_draft.py,292,Class: None
Unused Function,age,processing_utils.py,74,Class: Person
Unused Function,extract_text_async,text_extraction.py,480,Class: None
Unused Function,_save_chat_session,emailops_gui.py,1658,Class: EmailOpsApp
Unused Function,chunk_one_threadsafe,emailops_gui.py,2150,Class: EmailOpsApp
Unused Function,_save_eml_fresh,emailops_gui.py,1562,Class: EmailOpsApp
